N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비,거래량,PER,ROE,토론실
1,삼성전자,"81,500",200,-0.24%,100,"4,865,373","5,969,783",54.61,"17,262,575",21.22,9.99,
2,SK하이닉스,"128,000","2,000",-1.54%,"5,000","931,843","728,002",49.89,"3,935,133",19.60,9.53,
3,LG화학,"932,000","19,000",-2.00%,"5,000","657,921","70,592",45.28,"541,371",142.31,2.93,
4,삼성전자우,"73,300",200,-0.27%,100,"603,176","822,887",77.27,"1,432,183",19.08,N/A,
5,NAVER,"359,500","7,000",-1.91%,100,"590,527","164,263",56.88,"1,021,059",58.96,15.22,
6,삼성바이오로직스,"804,000","4,000",+0.50%,"2,500","531,967","66,165",10.28,"65,638",220.76,N/A,
7,카카오,"113,500","3,500",-2.99%,100,"503,724","443,809",33.59,"4,302,030",319.72,2.70,
8,현대차,"212,000","5,500",-2.53%,"5,000","452,977","213,668",30.53,"1,160,776",41.22,2.04,
9,삼성SDI,"654,000","18,000",-2.68%,"5,000","449,720","68,765",42.86,"279,383",80.09,4.54,
10,셀트리온,"266,000","2,500",-0.93%,"1,000","366,291","137,703",21.10,"684,210",71.56,16.68,
11,POSCO,"364,000","9,000",-2.41%,"5,000","317,360","87,187",54.56,"496,898",19.81,3.61,
12,기아,"77,000","2,300",-2.90%,"5,000","312,130","405,363",32.99,"3,142,688",20.98,5.05,
13,LG전자,"157,500","4,500",-2.78%,"5,000","257,745","163,648",31.05,"1,579,010",14.47,13.23,
14,현대모비스,"270,000",0,0.00%,"5,000","255,941","94,793",37.95,"490,033",16.79,4.66,
15,삼성물산,"136,000","4,000",-2.86%,100,"254,166","186,887",14.98,"691,685",24.87,3.81,
16,SK이노베이션,"270,500","4,500",-1.64%,"5,000","250,119","92,466",23.10,"708,264",-11.67,-13.58,
17,SK텔레콤,"303,500",0,0.00%,500,"245,063","80,746",39.51,"277,226",16.29,6.44,
18,LG생활건강,"1,539,000","8,000",+0.52%,"5,000","240,364","15,618",46.00,"31,123",34.19,17.92,
19,KB금융,"54,700",800,+1.48%,"5,000","227,447","415,808",69.27,"1,801,817",6.58,8.53,
20,LG,"126,500",0,0.00%,"5,000","218,285","172,557",34.67,0,15.18,7.50,
21,신한지주,"40,000",500,+1.27%,"5,000","206,640","516,600",60.53,"2,444,700",5.93,8.20,
22,SK,"276,000","8,000",-2.82%,200,"194,194","70,360",21.12,"206,605",103.37,1.11,
23,엔씨소프트,"830,000","7,000",-0.84%,500,"182,218","21,954",51.96,"78,347",31.02,20.83,
24,삼성생명,"81,700","1,300",-1.57%,500,"163,400","200,000",13.12,"521,390",12.91,3.53,
25,아모레퍼시픽,"270,500","6,500",-2.35%,500,"158,130","58,458",33.75,"208,559",531.43,0.78,
26,한국전력,"23,650",300,-1.25%,"5,000","151,824","641,964",16.67,"3,017,133",7.62,2.91,
27,삼성에스디에스,"183,000","1,500",-0.81%,500,"141,601","77,378",11.73,"188,928",31.93,6.71,
28,하나금융지주,"45,650",850,+1.90%,"5,000","137,060","300,242",69.21,"2,166,492",5.20,8.96,
29,HMM,"39,200",750,-1.88%,"5,000","135,394","345,392",12.16,"10,853,314",102.08,8.93,
30,삼성전기,"179,000","5,000",-2.72%,"5,000","133,702","74,694",34.88,"658,932",23.00,10.92,
31,SK바이오사이언스,"152,000","1,500",+1.00%,500,"116,280","76,500",2.77,"916,879",283.05,13.25,
32,포스코케미칼,"149,000","3,000",-1.97%,500,"115,420","77,463",7.80,"392,793",323.21,2.96,
33,KT&G,"82,400",100,-0.12%,"5,000","113,129","137,292",40.14,"420,934",9.65,13.22,
34,넷마블,"129,500","3,000",-2.26%,100,"111,310","85,954",24.12,"286,267",35.51,6.35,
35,한국조선해양,"153,500","3,000",+1.99%,"5,000","108,637","70,773",18.40,"1,329,342",-13.03,-7.42,
36,롯데케미칼,"304,000","3,500",-1.14%,"5,000","104,197","34,275",25.83,"258,229",65.76,1.22,
37,S-Oil,"87,100",900,-1.02%,"2,500","98,060","112,583",76.17,"598,178",-12.76,-13.07,
38,삼성화재,"198,000","1,000",-0.50%,500,"93,802","47,375",47.29,"127,171",13.26,4.96,
39,대한항공,"26,900",550,+2.09%,"5,000","93,564","347,821",10.51,"4,419,865",-22.70,-7.22,
40,한화솔루션,"46,050",700,-1.50%,"5,000","88,084","191,278",17.35,"986,466",24.99,5.30,
41,LG디스플레이,"24,300",950,-3.76%,"5,000","86,949","357,816",24.09,"5,973,829",-97.20,-0.79,
42,하이브,"243,000",500,-0.21%,500,"86,566","35,624",8.48,"182,366",N/A,12.52,
43,한온시스템,"16,200",250,-1.52%,100,"86,476","533,800",19.38,"1,093,030",78.26,5.09,
44,SK바이오팜,"109,000","2,500",-2.24%,500,"85,361","78,313",7.49,"261,715",-31.67,-135.18,
45,고려아연,"446,000","8,500",-1.87%,"5,000","84,160","18,870",22.21,"136,812",14.69,8.37,
46,금호석유,"260,000","2,500",+0.97%,"5,000","79,216","30,468",25.09,"409,586",14.94,20.18,
47,우리금융지주,"10,700",50,-0.47%,"5,000","77,283","722,268",27.05,"2,747,548",5.91,5.87,
48,현대제철,"55,500","2,900",-4.97%,"5,000","74,062","133,446",20.36,"2,663,866",-17.23,-2.59,
49,KT,"28,350",600,-2.07%,"5,000","74,025","261,112",43.19,"1,155,502",11.25,4.76,
50,현대글로비스,"192,000","4,000",+2.13%,500,"72,000","37,500",33.22,"227,773",11.88,12.45,
